kernelversion,contributor,value,Percentage
Linux-6.19(on-going),Allied Telesis,2,0.02
Linux-6.19(on-going),Hewlett Packard Enterprise,2,0.02
Linux-6.19(on-going),Code Aurora Forum,2,0.02
Linux-6.19(on-going),Wacom,2,0.02
Linux-6.19(on-going),SiS,2,0.02
Linux-6.19(on-going),AXIS,2,0.02
Linux-6.19(on-going),Citrix,1,0.01
Linux-6.19(on-going),Fujitsu,1,0.01
Linux-6.19(on-going),secunet Security Networks AG,1,0.01
Linux-6.19(on-going),Nuvoton Technology,1,0.01
Linux-6.19(on-going),Chelsio,1,0.01
Linux-6.19(on-going),ADDI-DATA GmbH,1,0.01
Linux-6.19(on-going),Motorola,1,0.01
Linux-6.19(on-going),CTERA Networks,1,0.01
Linux-6.18(2025-11-30),Unknown,4620,33.70
Linux-6.18(2025-11-30),Intel,1345,9.81
Linux-6.18(2025-11-30),Red Hat,680,4.96
Linux-6.18(2025-11-30),Google,679,4.95
Linux-6.18(2025-11-30),AMD,646,4.71
Linux-6.18(2025-11-30),QUALCOMM,528,3.85
Linux-6.18(2025-11-30),Linaro,527,3.84
Linux-6.18(2025-11-30),Novell,515,3.76
Linux-6.18(2025-11-30),Renesas Electronics,358,2.61
Linux-6.18(2025-11-30),Huawei,320,2.33
Linux-6.18(2025-11-30),NVIDIA,289,2.11
Linux-6.18(2025-11-30),vivo,257,1.87
Linux-6.18(2025-11-30),NXP,223,1.63
Linux-6.18(2025-11-30),Collabora,184,1.34
Linux-6.18(2025-11-30),Hobbyists,171,1.25
Linux-6.18(2025-11-30),Ideas on board,163,1.19
Linux-6.18(2025-11-30),Oracle,149,1.09
Linux-6.18(2025-11-30),Texas Instruments,146,1.07
Linux-6.18(2025-11-30),IBM,122,0.89
Linux-6.18(2025-11-30),Linutronix,117,0.85
Linux-6.18(2025-11-30),ARM,113,0.82
Linux-6.18(2025-11-30),Kylin Software,92,0.67
Linux-6.18(2025-11-30),Broadcom,88,0.64
Linux-6.18(2025-11-30),Baylibre,80,0.58
Linux-6.18(2025-11-30),Bootlin,77,0.56
Linux-6.18(2025-11-30),igalia,76,0.55
Linux-6.18(2025-11-30),Academics,66,0.48
Linux-6.18(2025-11-30),STMicroelectronics,61,0.44
Linux-6.18(2025-11-30),MediaTek,59,0.43
Linux-6.18(2025-11-30),Loongson,57,0.42
Linux-6.18(2025-11-30),Microchip Technology Inc.,52,0.38
Linux-6.18(2025-11-30),Realtek,48,0.35
Linux-6.18(2025-11-30),General Electric,46,0.34
Linux-6.18(2025-11-30),Synaptics,43,0.31
Linux-6.18(2025-11-30),Pengutronix,39,0.28
Linux-6.18(2025-11-30),Alibaba,37,0.27
Linux-6.18(2025-11-30),Hovold Consulting AB,36,0.26
Linux-6.18(2025-11-30),Samsung,35,0.26
Linux-6.18(2025-11-30),LWN,34,0.25
Linux-6.18(2025-11-30),Debian,34,0.25
Linux-6.18(2025-11-30),Analog Devices,27,0.20
Linux-6.18(2025-11-30),Cirrus Logic,27,0.20
Linux-6.18(2025-11-30),Tencent,25,0.18
Linux-6.18(2025-11-30),Microsoft,25,0.18
Linux-6.18(2025-11-30),UnionTech,24,0.18
Linux-6.18(2025-11-30),Ericsson,24,0.18
Linux-6.18(2025-11-30),OPPO,22,0.16
Linux-6.18(2025-11-30),ByteDance,22,0.16
Linux-6.18(2025-11-30),Linux Foundation,20,0.15
Linux-6.18(2025-11-30),Rockchip,19,0.14
Linux-6.18(2025-11-30),Western Digital,17,0.12
Linux-6.18(2025-11-30),Facebook,16,0.12
Linux-6.18(2025-11-30),ACM,15,0.11
Linux-6.18(2025-11-30),Astaro,15,0.11
Linux-6.18(2025-11-30),Baidu,14,0.10
Linux-6.18(2025-11-30),Xiaomi,14,0.10
Linux-6.18(2025-11-30),ZTE,13,0.09
Linux-6.18(2025-11-30),Altera,13,0.09
Linux-6.18(2025-11-30),Amazon,11,0.08
Linux-6.18(2025-11-30),Amarula Solutions,11,0.08
Linux-6.18(2025-11-30),AXIS,10,0.07
Linux-6.18(2025-11-30),NTT,10,0.07
Linux-6.18(2025-11-30),Canonical,7,0.05
Linux-6.18(2025-11-30),Nokia,6,0.04
Linux-6.18(2025-11-30),Motorola,6,0.04
Linux-6.18(2025-11-30),Glider bvba,5,0.04
Linux-6.18(2025-11-30),Alcatel-Lucent,5,0.04
Linux-6.18(2025-11-30),PHYTEC,4,0.03
Linux-6.18(2025-11-30),Inspur,4,0.03
Linux-6.18(2025-11-30),Micron,4,0.03
Linux-6.18(2025-11-30),China Mobile,4,0.03
Linux-6.18(2025-11-30),Einfochips,4,0.03
Linux-6.18(2025-11-30),Marvell,3,0.02
Linux-6.18(2025-11-30),Siemens,3,0.02
Linux-6.18(2025-11-30),China Telecom,3,0.02
Linux-6.18(2025-11-30),SiS,2,0.01
Linux-6.18(2025-11-30),Infineon Technologies AG,2,0.01
Linux-6.18(2025-11-30),Tk Open Systems,2,0.01
Linux-6.18(2025-11-30),ESD Electronics,2,0.01
Linux-6.18(2025-11-30),Socionext Inc.,2,0.01
Linux-6.18(2025-11-30),6WIND,2,0.01
Linux-6.18(2025-11-30),Imagination Technologies,2,0.01
Linux-6.18(2025-11-30),National Instruments,1,0.01
Linux-6.18(2025-11-30),WolfVision GmbH,1,0.01
Linux-6.18(2025-11-30),EfficiOS Inc.,1,0.01
Linux-6.18(2025-11-30),Critical Links,1,0.01
Linux-6.18(2025-11-30),Cypress Semiconductor,1,0.01
Linux-6.18(2025-11-30),MEV Limited,1,0.01
Linux-6.18(2025-11-30),Cisco,1,0.01
Linux-6.18(2025-11-30),Allied Telesis,1,0.01
Linux-6.18(2025-11-30),NFSChina,1,0.01
Linux-6.18(2025-11-30),Juniper Networks,1,0.01
Linux-6.18(2025-11-30),Parallels,1,0.01
Linux-6.18(2025-11-30),Fujitsu,1,0.01
Linux-6.18(2025-11-30),Code Aurora Forum,1,0.01
Linux-6.18(2025-11-30),Nuvoton Technology,1,0.01
Linux-6.18(2025-11-30),CTERA Networks,1,0.01
Linux-6.18(2025-11-30),Hewlett Packard Enterprise,1,0.01
Linux-6.18(2025-11-30),secunet Security Networks AG,1,0.01
Linux-6.18(2025-11-30),ROHM Semiconductors,1,0.01
Linux-6.18(2025-11-30),Shopee,1,0.01
Linux-6.18(2025-11-30),VA LINUX,1,0.01
Linux-6.18(2025-11-30),Freebox,1,0.01
Linux-6.18(2025-11-30),Fraunhofer FOKUS,1,0.01
Linux-6.18(2025-11-30),Citrix,1,0.01
Linux-6.18(2025-11-30),Codethink,1,0.01
Linux-6.18(2025-11-30),Fixstars Technologies,1,0.01
Linux-6.18(2025-11-30),Wave Computing,1,0.01
Linux-6.18(2025-11-30),"Rowland Institute, Harvard",1,0.01
Linux-6.18(2025-11-30),LG Electonics,1,0.01
Linux-6.17(2025-09-28),Unknown,4221,32.30
Linux-6.17(2025-09-28),Intel,1266,9.69
Linux-6.17(2025-09-28),Red Hat,759,5.81
Linux-6.17(2025-09-28),Google,676,5.17
Linux-6.17(2025-09-28),Linaro,620,4.74
Linux-6.17(2025-09-28),Novell,519,3.97
Linux-6.17(2025-09-28),AMD,511,3.91
Linux-6.17(2025-09-28),QUALCOMM,418,3.20
Linux-6.17(2025-09-28),NVIDIA,384,2.94
Linux-6.17(2025-09-28),Renesas Electronics,341,2.61
Linux-6.17(2025-09-28),Huawei,244,1.87
Linux-6.17(2025-09-28),NXP,225,1.72
Linux-6.17(2025-09-28),Linutronix,195,1.49
Linux-6.17(2025-09-28),Oracle,185,1.42
Linux-6.17(2025-09-28),Baylibre,151,1.16
Linux-6.17(2025-09-28),Collabora,136,1.04
Linux-6.17(2025-09-28),ARM,134,1.03
Linux-6.17(2025-09-28),Hobbyists,129,0.99
Linux-6.17(2025-09-28),IBM,123,0.94
Linux-6.17(2025-09-28),Loongson,118,0.90
Linux-6.17(2025-09-28),Bootlin,98,0.75
Linux-6.17(2025-09-28),Realtek,96,0.73
Linux-6.17(2025-09-28),Debian,83,0.64
Linux-6.17(2025-09-28),Analog Devices,76,0.58
Linux-6.17(2025-09-28),LWN,65,0.50
Linux-6.17(2025-09-28),Kylin Software,64,0.49
Linux-6.17(2025-09-28),Texas Instruments,62,0.47
Linux-6.17(2025-09-28),Microchip Technology Inc.,60,0.46
Linux-6.17(2025-09-28),Broadcom,58,0.44
Linux-6.17(2025-09-28),Canonical,55,0.42
Linux-6.17(2025-09-28),vivo,50,0.38
Linux-6.17(2025-09-28),STMicroelectronics,49,0.37
Linux-6.17(2025-09-28),igalia,48,0.37
Linux-6.17(2025-09-28),Cirrus Logic,45,0.34
Linux-6.17(2025-09-28),Academics,45,0.34
Linux-6.17(2025-09-28),Microsoft,43,0.33
Linux-6.17(2025-09-28),Pengutronix,38,0.29
Linux-6.17(2025-09-28),Alibaba,35,0.27
Linux-6.17(2025-09-28),Samsung,33,0.25
Linux-6.17(2025-09-28),MediaTek,32,0.24
Linux-6.17(2025-09-28),Western Digital,29,0.22
Linux-6.17(2025-09-28),ZTE,28,0.21
Linux-6.17(2025-09-28),Marvell,28,0.21
Linux-6.17(2025-09-28),Tencent,28,0.21
Linux-6.17(2025-09-28),General Electric,28,0.21
Linux-6.17(2025-09-28),OPPO,26,0.20
Linux-6.17(2025-09-28),Amazon,25,0.19
Linux-6.17(2025-09-28),UnionTech,25,0.19
Linux-6.17(2025-09-28),Rockchip,22,0.17
Linux-6.17(2025-09-28),Ideas on board,22,0.17
Linux-6.17(2025-09-28),Astaro,22,0.17
Linux-6.17(2025-09-28),Linux Foundation,21,0.16
Linux-6.17(2025-09-28),Hovold Consulting AB,21,0.16
Linux-6.17(2025-09-28),Amarula Solutions,16,0.12
Linux-6.17(2025-09-28),AXIS,15,0.11
Linux-6.17(2025-09-28),Inspur,15,0.11
Linux-6.17(2025-09-28),Facebook,13,0.10
Linux-6.17(2025-09-28),Altera,11,0.08
Linux-6.17(2025-09-28),CTERA Networks,10,0.08
Linux-6.17(2025-09-28),Baidu,9,0.07
Linux-6.17(2025-09-28),Micron,9,0.07
Linux-6.17(2025-09-28),China Telecom,8,0.06
Linux-6.17(2025-09-28),Siemens,8,0.06
Linux-6.17(2025-09-28),Synaptics,7,0.05
Linux-6.17(2025-09-28),ACM,7,0.05
Linux-6.17(2025-09-28),NTT,6,0.05
Linux-6.17(2025-09-28),Alcatel-Lucent,6,0.05
Linux-6.17(2025-09-28),DENX Software Engineering,5,0.04
Linux-6.17(2025-09-28),Allied Telesis,5,0.04
Linux-6.17(2025-09-28),NFSChina,5,0.04
Linux-6.17(2025-09-28),Ericsson,5,0.04
Linux-6.17(2025-09-28),EXOSEC,4,0.03
Linux-6.17(2025-09-28),Xiaomi,4,0.03
Linux-6.17(2025-09-28),ByteDance,4,0.03
Linux-6.17(2025-09-28),"Rowland Institute, Harvard",4,0.03
Linux-6.17(2025-09-28),WolfVision GmbH,4,0.03
Linux-6.17(2025-09-28),protonic holland,3,0.02
Linux-6.17(2025-09-28),Cadence Design Systems,3,0.02
Linux-6.17(2025-09-28),PHYTEC,3,0.02
Linux-6.17(2025-09-28),Cypress Semiconductor,3,0.02
Linux-6.17(2025-09-28),Lenovo,3,0.02
Linux-6.17(2025-09-28),MaxLinear,3,0.02
Linux-6.17(2025-09-28),MEV Limited,3,0.02
Linux-6.17(2025-09-28),Shopee,3,0.02
Linux-6.17(2025-09-28),Hewlett Packard Enterprise,3,0.02
Linux-6.17(2025-09-28),Fujitsu,2,0.02
Linux-6.17(2025-09-28),Motorola,2,0.02
Linux-6.17(2025-09-28),Infineon Technologies AG,2,0.02
Linux-6.17(2025-09-28),Glider bvba,2,0.02
Linux-6.17(2025-09-28),Primary Data,2,0.02
Linux-6.17(2025-09-28),Emerson,2,0.02
Linux-6.17(2025-09-28),ALT Linux,2,0.02
Linux-6.17(2025-09-28),Golden Delicious Computers,2,0.02
Linux-6.17(2025-09-28),ARMadeus Systems,2,0.02
Linux-6.17(2025-09-28),Hansen Partnership,1,0.01
Linux-6.17(2025-09-28),XMission,1,0.01
Linux-6.17(2025-09-28),6WIND,1,0.01
Linux-6.17(2025-09-28),Imagination Technologies,1,0.01
Linux-6.17(2025-09-28),Candela Tech.,1,0.01
Linux-6.17(2025-09-28),Chelsio,1,0.01
Linux-6.17(2025-09-28),Digi International,1,0.01
Linux-6.17(2025-09-28),Nuvoton Technology,1,0.01
Linux-6.17(2025-09-28),Miracle Linux,1,0.01
Linux-6.17(2025-09-28),LinBit,1,0.01
Linux-6.17(2025-09-28),Wacom,1,0.01
Linux-6.17(2025-09-28),Einfochips,1,0.01
Linux-6.17(2025-09-28),Juniper Networks,1,0.01
Linux-6.17(2025-09-28),China Mobile,1,0.01
Linux-6.17(2025-09-28),Cisco,1,0.01
Linux-6.17(2025-09-28),Apple,1,0.01
Linux-6.17(2025-09-28),Akamai,1,0.01
Linux-6.15(2025-05-25),Unknown,4613,31.57
Linux-6.15(2025-05-25),Intel,1689,11.56
Linux-6.15(2025-05-25),AMD,875,5.99
Linux-6.15(2025-05-25),Red Hat,731,5.00
Linux-6.15(2025-05-25),Google,704,4.82
Linux-6.15(2025-05-25),Linaro,635,4.35
Linux-6.15(2025-05-25),Novell,481,3.29
Linux-6.15(2025-05-25),Renesas Electronics,377,2.58
Linux-6.15(2025-05-25),NVIDIA,348,2.38
Linux-6.15(2025-05-25),Huawei,348,2.38
Linux-6.15(2025-05-25),Hobbyists,316,2.16
Linux-6.15(2025-05-25),QUALCOMM,312,2.14
Linux-6.15(2025-05-25),Linutronix,297,2.03
Linux-6.15(2025-05-25),ARM,252,1.72
Linux-6.15(2025-05-25),IBM,236,1.62
Linux-6.15(2025-05-25),NXP,179,1.23
Linux-6.15(2025-05-25),Collabora,161,1.10
Linux-6.15(2025-05-25),Bootlin,145,0.99
Linux-6.15(2025-05-25),Oracle,137,0.94
Linux-6.15(2025-05-25),Baylibre,133,0.91
Linux-6.15(2025-05-25),Microsoft,91,0.62
Linux-6.15(2025-05-25),Kylin Software,80,0.55
Linux-6.15(2025-05-25),igalia,75,0.51
Linux-6.15(2025-05-25),Broadcom,75,0.51
Linux-6.15(2025-05-25),MediaTek,71,0.49
Linux-6.15(2025-05-25),Realtek,66,0.45
Linux-6.15(2025-05-25),Rockchip,64,0.44
Linux-6.15(2025-05-25),Cirrus Logic,64,0.44
Linux-6.15(2025-05-25),Pengutronix,60,0.41
Linux-6.15(2025-05-25),Alibaba,59,0.40
Linux-6.15(2025-05-25),Amazon,57,0.39
Linux-6.15(2025-05-25),General Electric,51,0.35
Linux-6.15(2025-05-25),Academics,48,0.33
Linux-6.15(2025-05-25),Texas Instruments,48,0.33
Linux-6.15(2025-05-25),Microchip Technology Inc.,47,0.32
Linux-6.15(2025-05-25),STMicroelectronics,46,0.31
Linux-6.15(2025-05-25),Samsung,45,0.31
Linux-6.15(2025-05-25),Debian,42,0.29
Linux-6.15(2025-05-25),Loongson,38,0.26
Linux-6.15(2025-05-25),Analog Devices,36,0.25
Linux-6.15(2025-05-25),Linux Foundation,32,0.22
Linux-6.15(2025-05-25),Inspur,28,0.19
Linux-6.15(2025-05-25),Marvell,28,0.19
Linux-6.15(2025-05-25),ByteDance,26,0.18
Linux-6.15(2025-05-25),UnionTech,26,0.18
Linux-6.15(2025-05-25),OPPO,22,0.15
Linux-6.15(2025-05-25),Western Digital,21,0.14
Linux-6.15(2025-05-25),DENX Software Engineering,20,0.14
Linux-6.15(2025-05-25),PHYTEC,20,0.14
Linux-6.15(2025-05-25),Cisco,18,0.12
Linux-6.15(2025-05-25),Facebook,15,0.10
Linux-6.15(2025-05-25),Ideas on board,14,0.10
Linux-6.15(2025-05-25),ACM,13,0.09
Linux-6.15(2025-05-25),Tencent,13,0.09
Linux-6.15(2025-05-25),Canonical,12,0.08
Linux-6.15(2025-05-25),Ericsson,11,0.08
Linux-6.15(2025-05-25),ZTE,10,0.07
Linux-6.15(2025-05-25),Nuvoton Technology,9,0.06
Linux-6.15(2025-05-25),EfficiOS Inc.,8,0.05
Linux-6.15(2025-05-25),Astaro,7,0.05
Linux-6.15(2025-05-25),Socionext Inc.,7,0.05
Linux-6.15(2025-05-25),Glider bvba,6,0.04
Linux-6.15(2025-05-25),Motorola,6,0.04
Linux-6.15(2025-05-25),Allied Telesis,6,0.04
Linux-6.15(2025-05-25),Amarula Solutions,6,0.04
Linux-6.15(2025-05-25),Siemens,6,0.04
Linux-6.15(2025-05-25),WolfVision GmbH,5,0.03
Linux-6.15(2025-05-25),Baidu,5,0.03
Linux-6.15(2025-05-25),6WIND,5,0.03
Linux-6.15(2025-05-25),Shopee,5,0.03
Linux-6.15(2025-05-25),Silicon Labs,5,0.03
Linux-6.15(2025-05-25),Citrix,5,0.03
Linux-6.15(2025-05-25),Xiaomi,5,0.03
Linux-6.15(2025-05-25),Altera,4,0.03
Linux-6.15(2025-05-25),Volkswagen,4,0.03
Linux-6.15(2025-05-25),ALT Linux,4,0.03
Linux-6.15(2025-05-25),protonic holland,3,0.02
Linux-6.15(2025-05-25),Bosch,3,0.02
Linux-6.15(2025-05-25),Golden Delicious Computers,3,0.02
Linux-6.15(2025-05-25),China Mobile,2,0.01
Linux-6.15(2025-05-25),National Instruments,2,0.01
Linux-6.15(2025-05-25),vivo,2,0.01
Linux-6.15(2025-05-25),Imagination Technologies,2,0.01
Linux-6.15(2025-05-25),emlix Gmbh,2,0.01
Linux-6.15(2025-05-25),CTERA Networks,2,0.01
Linux-6.15(2025-05-25),Cadence Design Systems,2,0.01
Linux-6.15(2025-05-25),XILINX,1,0.01
Linux-6.15(2025-05-25),Fujitsu,1,0.01
Linux-6.15(2025-05-25),Matrox,1,0.01
Linux-6.15(2025-05-25),Hovold Consulting AB,1,0.01
Linux-6.15(2025-05-25),Wacom,1,0.01
Linux-6.15(2025-05-25),Traverse Technologies,1,0.01
Linux-6.15(2025-05-25),SYSGO,1,0.01
Linux-6.15(2025-05-25),Parallels,1,0.01
Linux-6.15(2025-05-25),Alcatel-Lucent,1,0.01
Linux-6.15(2025-05-25),Emerson,1,0.01
Linux-6.15(2025-05-25),Tk Open Systems,1,0.01
Linux-6.15(2025-05-25),HP,1,0.01
Linux-6.15(2025-05-25),Hewlett Packard Enterprise,1,0.01
Linux-6.15(2025-05-25),MEV Limited,1,0.01
Linux-6.15(2025-05-25),ARMadeus Systems,1,0.01
Linux-6.15(2025-05-25),GNU,1,0.01
Linux-6.13(2025-01-19),Unknown,3792,29.21
Linux-6.13(2025-01-19),Intel,1403,10.81
Linux-6.13(2025-01-19),AMD,635,4.89
Linux-6.13(2025-01-19),Google,625,4.81
Linux-6.13(2025-01-19),Red Hat,544,4.19
Linux-6.13(2025-01-19),Linaro,534,4.11
Linux-6.13(2025-01-19),Novell,424,3.27
Linux-6.13(2025-01-19),Hobbyists,405,3.12
Linux-6.13(2025-01-19),Huawei,364,2.80
Linux-6.13(2025-01-19),Renesas Electronics,258,1.99
Linux-6.13(2025-01-19),IBM,252,1.94
Linux-6.13(2025-01-19),QUALCOMM,252,1.94
Linux-6.13(2025-01-19),NVIDIA,228,1.76
Linux-6.13(2025-01-19),NXP,225,1.73
Linux-6.13(2025-01-19),Linutronix,213,1.64
Linux-6.13(2025-01-19),Oracle,208,1.60
Linux-6.13(2025-01-19),Baylibre,206,1.59
Linux-6.13(2025-01-19),ARM,154,1.19
Linux-6.13(2025-01-19),Microchip Technology Inc.,118,0.91
Linux-6.13(2025-01-19),WolfVision GmbH,111,0.86
Linux-6.13(2025-01-19),Debian,105,0.81
Linux-6.13(2025-01-19),Bootlin,96,0.74
Linux-6.13(2025-01-19),Broadcom,92,0.71
Linux-6.13(2025-01-19),Amazon,85,0.65
Linux-6.13(2025-01-19),Texas Instruments,84,0.65
Linux-6.13(2025-01-19),DENX Software Engineering,83,0.64
Linux-6.13(2025-01-19),Alibaba,83,0.64
Linux-6.13(2025-01-19),Realtek,82,0.63
Linux-6.13(2025-01-19),Collabora,74,0.57
Linux-6.13(2025-01-19),vivo,69,0.53
Linux-6.13(2025-01-19),igalia,67,0.52
Linux-6.13(2025-01-19),China Mobile,61,0.47
Linux-6.13(2025-01-19),ACM,54,0.42
Linux-6.13(2025-01-19),Academics,50,0.39
Linux-6.13(2025-01-19),MediaTek,50,0.39
Linux-6.13(2025-01-19),STMicroelectronics,47,0.36
Linux-6.13(2025-01-19),Pengutronix,46,0.35
Linux-6.13(2025-01-19),Ideas on board,45,0.35
Linux-6.13(2025-01-19),Loongson,45,0.35
Linux-6.13(2025-01-19),Canonical,43,0.33
Linux-6.13(2025-01-19),ByteDance,40,0.31
Linux-6.13(2025-01-19),Western Digital,36,0.28
Linux-6.13(2025-01-19),Kylin Software,34,0.26
Linux-6.13(2025-01-19),Marvell,34,0.26
Linux-6.13(2025-01-19),Linux Foundation,31,0.24
Linux-6.13(2025-01-19),Analog Devices,29,0.22
Linux-6.13(2025-01-19),INRIA,27,0.21
Linux-6.13(2025-01-19),OPPO,26,0.20
Linux-6.13(2025-01-19),Tencent,24,0.18
Linux-6.13(2025-01-19),Samsung,23,0.18
Linux-6.13(2025-01-19),Microsoft,23,0.18
Linux-6.13(2025-01-19),Cirrus Logic,20,0.15
Linux-6.13(2025-01-19),XS4ALL Internet bv,19,0.15
Linux-6.13(2025-01-19),EfficiOS Inc.,19,0.15
Linux-6.13(2025-01-19),Rockchip,18,0.14
Linux-6.13(2025-01-19),Allied Telesis,17,0.13
Linux-6.13(2025-01-19),CTERA Networks,17,0.13
Linux-6.13(2025-01-19),UnionTech,16,0.12
Linux-6.13(2025-01-19),Astaro,16,0.12
Linux-6.13(2025-01-19),General Electric,14,0.11
Linux-6.13(2025-01-19),Amarula Solutions,13,0.10
Linux-6.13(2025-01-19),Facebook,11,0.08
Linux-6.13(2025-01-19),Cisco,9,0.07
Linux-6.13(2025-01-19),PHYTEC,8,0.06
Linux-6.13(2025-01-19),Shopee,7,0.05
Linux-6.13(2025-01-19),Inspur,7,0.05
Linux-6.13(2025-01-19),Cogent Embedded,7,0.05
Linux-6.13(2025-01-19),Freebox,6,0.05
Linux-6.13(2025-01-19),Glider bvba,6,0.05
Linux-6.13(2025-01-19),Connect Tech.,5,0.04
Linux-6.13(2025-01-19),AXIS,5,0.04
Linux-6.13(2025-01-19),secunet Security Networks AG,5,0.04
Linux-6.13(2025-01-19),Ericsson,5,0.04
Linux-6.13(2025-01-19),Synopsys,5,0.04
Linux-6.13(2025-01-19),ZTE,4,0.03
Linux-6.13(2025-01-19),Synaptics,4,0.03
Linux-6.13(2025-01-19),Nuvoton Technology,4,0.03
Linux-6.13(2025-01-19),SiS,3,0.02
Linux-6.13(2025-01-19),Bosch,3,0.02
Linux-6.13(2025-01-19),Siemens,3,0.02
Linux-6.13(2025-01-19),emlix Gmbh,3,0.02
Linux-6.13(2025-01-19),ALT Linux,3,0.02
Linux-6.13(2025-01-19),Chelsio,3,0.02
Linux-6.13(2025-01-19),Xiaomi,2,0.02
Linux-6.13(2025-01-19),Wacom,2,0.02
Linux-6.13(2025-01-19),LWN,2,0.02
Linux-6.13(2025-01-19),Lenovo,2,0.02
Linux-6.13(2025-01-19),GNU,2,0.02
Linux-6.13(2025-01-19),Semihalf Embedded Systems,2,0.02
Linux-6.13(2025-01-19),Aculab Plc.,2,0.02
Linux-6.13(2025-01-19),NTT,2,0.02
Linux-6.13(2025-01-19),NFSChina,2,0.02
Linux-6.13(2025-01-19),Imagination Technologies,1,0.01
Linux-6.13(2025-01-19),MCST,1,0.01
Linux-6.13(2025-01-19),China Telecom,1,0.01
Linux-6.13(2025-01-19),Candela Tech.,1,0.01
